Date,From,Subject
"Mon, 12 Oct 2020 08:29:21 -0700","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply+7e6f1811@classroom.google.com>","=?UTF-8?Q?Nuevo_anuncio=3A_=22Estimados_alumn=40s_de_Base_de_Datos_I?=
	=?UTF-8?Q?=E2=80=A6=22?="
"Mon, 12 Oct 2020 09:57:45 -0500",EDWARD HINOJOSA CARDENAS <ehinojosa@unsa.edu.pe>,"=?UTF-8?Q?Primera_Evaluaci=C3=B3n_=2D_Base_de_Datos_I_=2D_2020B=2D_UNSA_?=
	=?UTF-8?Q?=2D_EPCC?="
"Sun, 11 Oct 2020 20:02:20 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>",=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Actividad_calificada=22?=
"Sun, 11 Oct 2020 17:49:16 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?Presentaci=C3=B3n_del_Proyecto_de_Investigaci=C3=B3n=3A_=E2=80=9C=C3=8Dn?=
	=?UTF-8?Q?dices_Epidemiol=C3=B3gicos_de_la_Fasciolosis_y_Taxonom=C3=ADa_Morfo=2D?=
	=?UTF-8?Q?Molecular_de_los_Lymneidos_de_algunas_localidades_de_la_regi?=
	=?UTF-8?Q?=C3=B3n_Arequipa=E2=80=9D?="
"Sun, 11 Oct 2020 09:23:29 -0700",Wish <offers@wish.com>,"=?UTF-8?q?No_encontrar=C3=A1s_una_laptop_a_S/.197_en_las_tiendas._?= =?UTF-8?q?=F0=9F=92=BB_Rebajas_del_50-90_%_en_laptops,_MacBooks_y_iPads.?="
"Sat, 10 Oct 2020 19:57:19 -0700","""FRANCI SUNI LOPEZ (Classroom)"" <no-reply+2d53f5ca@classroom.google.com>",=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Laboratorio_4=22?=
"Sat, 10 Oct 2020 19:57:05 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>","=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Pr=C3=A1ctica_calificada_=2D_Se?=
	=?UTF-8?Q?=C3=B1ales=22?="
"Sat, 10 Oct 2020 22:21:16 +0000",=?UTF-8?Q?EDUARDO_FELIPE_VALDIVI=2E=2E=2E_=28v=C3=ADa_Google_Drive=29?= <drive-shares-noreply@google.com>,=?UTF-8?Q?Colab_Notebooks_=2D_Invitaci=C3=B3n_para_colaborar?=
"Sat, 10 Oct 2020 15:45:02 -0500","""=?utf-8?B?Tm8gY29udGVzdGFyIGEgZXN0ZSBjb3JyZW8gICh2w61hIE1pIGF1bGEgdmk=?=
 =?utf-8?B?cnR1YWwp?="" <noreply@dutic.unsa.edu.pe>",Usted ha realizado su entrega en la tarea Subir_SesionLab1
"Sat, 10 Oct 2020 20:32:37 GMT",Google <no-reply@accounts.google.com>,Alerta de seguridad
"Sat, 10 Oct 2020 10:07:53 -0700",Wish <offers@wish.com>,"=?UTF-8?q?Te_mereces_un_nuevo_tel=C3=A9fono..._50-90%_de_descuento_en_sma?=
 =?UTF-8?q?rtphones,_iPhones_y_tabletas_hoy_=F0=9F=93=B1?="
"Sat, 10 Oct 2020 14:16:00 +0000","""Academia.edu"" <premium@academia-mail.com>","Someone saw ""Universidad Nacional de San..."" in an Academia search"
"Sat, 10 Oct 2020 00:15:57 -0500",GABRIELA ZORAIDA BARREDA ALVAREZ <gbarreda@unsa.edu.pe>,=?UTF-8?Q?ENCUESTA=3A_Manifestaciones_del_estr=C3=A9s_acad=C3=A9mico?=
"Sat, 10 Oct 2020 00:59:20 +0000","""Academia.edu"" <updates@academia-mail.com>",Someone just searched for you on Google...
"Fri, 9 Oct 2020 18:12:48 -0500",SERGIO MOISES AQUISE ESCOBEDO <saquisee@unsa.edu.pe>,=?UTF-8?Q?Re=3A_CARPETA=5FCS=5FCOMP_=2D_Invitaci=C3=B3n_para_ver?=
"Fri, 09 Oct 2020 21:41:15 +0000",=?UTF-8?Q?ADRIAN_ROLANDO_BEDREGA=2E=2E=2E_=28v=C3=ADa_Google_Jamboard=29?= <drive-shares-noreply@google.com>,"=?UTF-8?Q?alwtnhzm6z_=28kbs=2Dvvjt=2Dqnm_=2D_9_oct=2E_2020=29_=2D_Invitaci=C3=B3?=
	=?UTF-8?Q?n_para_editar?="
"Fri, 09 Oct 2020 21:04:15 +0000",=?UTF-8?Q?SERGIO_MOISES_AQUISE_E=2E=2E=2E_=28v=C3=ADa_Google_Drive=29?= <drive-shares-noreply@google.com>,=?UTF-8?Q?CARPETA=5FCS=5FCOMP_=2D_Invitaci=C3=B3n_para_ver?=
"Fri, 09 Oct 2020 09:17:30 -0700",Wish <offers@wish.com>,"=?UTF-8?q?=F0=9F=91=80_=C2=A1Lo_m=C3=A1s_exclusivo_en_Carcasas_y_fundas_p?=
 =?UTF-8?q?ara_iPad_a_precios_baj=C3=ADsimos!_?="
"Fri, 09 Oct 2020 05:09:37 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>",=?UTF-8?Q?Nuevo_material=3A_=22Pr=C3=A1ctica_no_calificada_=2D_PThreads=22?=
"Fri, 09 Oct 2020 05:09:19 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>",=?UTF-8?Q?Nuevo_material=3A_=22Pr=C3=A1ctica_no_calificada_=2D_PThreads=22?=
"Fri, 09 Oct 2020 04:55:06 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>","=?UTF-8?Q?Nuevo_material=3A_=22Pr=C3=A1ctica_no_calificada_=2D_Procesos?=
	=?UTF-8?Q?=E2=80=A6=22?="
"Fri, 09 Oct 2020 05:02:08 +0000",=?UTF-8?Q?ADRIAN_ROLANDO_BEDREGA=2E=2E=2E_=28v=C3=ADa_Google_Jamboard=29?= <drive-shares-noreply@google.com>,"=?UTF-8?Q?tc_=28qnw=2Dzzcn=2Dsnz_=2D_8_de_out=2E_de_2020=29_=2D_Invitaci=C3=B3n_?=
	=?UTF-8?Q?para_editar?="
"Thu, 08 Oct 2020 19:58:49 -0700","""WILBER ROBERTO RAMOS LOVON (Classroom)"" <no-reply+60272012@classroom.google.com>","Nueva tarea: ""Lista de ejercicios 1"""
"Thu, 8 Oct 2020 19:14:53 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?Presentaci=C3=B3n_de_Resultados_del_Proyecto_de_Investig?=
	=?UTF-8?Q?aci=C3=B3n=3A_=22Desarrollo_de_un_codificador_de_los_movimientos_ocu?=
	=?UTF-8?Q?lares_en_tiempo_real_basado_en_Electrooculograf=C3=ADa_para_cont?=
	=?UTF-8?Q?ribuir_en_mejorar_en_calidad_de_vida_de_personas_con_discapa?=
	=?UTF-8?Q?cidad=22?="
"Thu, 8 Oct 2020 13:00:00 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"Conferencia: ""Telas que inactivan el Sars-cov-2: del laboratorio a la industria""."
"Thu, 8 Oct 2020 12:54:49 -0500",OFICINA DE SEGUIMIENTO DE EGRESADO <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?Invitaci=C3=B3n_a_Ciclo_de_Webinars_para_los_d=C3=ADas_13_y_?=
	=?UTF-8?Q?15_de_octubre?="
"Thu, 08 Oct 2020 10:06:43 -0700","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply+7e6f1811@classroom.google.com>","=?UTF-8?B?TnVldm8gYW51bmNpbzogIk9sdmlkw6kgcXVlIG1hw7FhbmEgdGVuZW1vcyBjbGFzZXMuCg==?=
	=?UTF-8?B?Ck5vc+KApiI=?="
"Thu, 08 Oct 2020 09:35:20 -0700","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply+7e6f1811@classroom.google.com>","=?UTF-8?Q?Nueva_tarea=3A_=22Laboratorio_6=3A_Diagrama_Entidad=2DRelaci?=
	=?UTF-8?Q?=C3=B3n=22?="
"Thu, 08 Oct 2020 09:12:13 -0700","""WILBER ROBERTO RAMOS LOVON (Classroom)"" <no-reply+60272012@classroom.google.com>",=?UTF-8?Q?Nueva_tarea=3A_=22Teor=C3=ADa_de_la_Computaci=C3=B3n=22?=
"Thu, 08 Oct 2020 15:33:37 +0000",EDGAR SARMIENTO CALISAYA <esarmientoca@unsa.edu.pe>,"=?UTF-8?Q?Invitaci=C3=B3n_actualizada=3A_BD_1_=2D_Lab_B_Cada_semana_de?=
	=?UTF-8?Q?_10=3A40am_a_12=3A30pm_el_jueves_=28PET=29_=28gchipanap=40unsa=2Eedu=2Epe=29?="
"Thu, 08 Oct 2020 15:32:42 +0000",EDGAR SARMIENTO CALISAYA <esarmientoca@unsa.edu.pe>,"=?UTF-8?Q?Invitaci=C3=B3n=3A_BD_1_=2D_Lab_B_Cada_semana_de_10=3A30am_a_1?=
	=?UTF-8?Q?2=3A20pm_el_jueves_=28PET=29_=28gchipanap=40unsa=2Eedu=2Epe=29?="
"Thu, 08 Oct 2020 06:36:40 -0700","""FRANCI SUNI LOPEZ (Classroom)"" <no-reply+2d53f5ca@classroom.google.com>","Nuevo material: ""Slides: Complejidad"""
"Thu, 8 Oct 2020 04:43:40 +0000","""Academia.edu"" <updates@academia-mail.com>","=?UTF-8?Q?Universidad_Nacional_de_San_Agust=C3=ADn_Microrobot?=
 =?UTF-8?Q?_M=C3=A9dico_was_your_top_paper_last_week?="
"Thu, 8 Oct 2020 00:29:10 +0000",PDF By carlos alberto <updates@academia-mail.com>,"=?UTF-8?Q?=F0=9F=93=84_=22La_Ciencia_para_Todos=22_by_carlos?=
 =?UTF-8?Q?_alberto?="
"Wed, 7 Oct 2020 18:58:41 -0500",ALEJANDRA LUCIA HURTADO MAZEYRA <ahurtadomaz@unsa.edu.pe>,ENCUESTA: USO DE REDES SOCIALES
"Wed, 7 Oct 2020 18:54:35 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?Visita_de_Investigador_de_Impacto_Internacional=3A_Dr=2E?=
	=?UTF-8?Q?_Jos=C3=A9_Gonz=C3=A1lez_Maya?="
"Wed, 07 Oct 2020 12:27:16 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>","=?UTF-8?Q?Nuevo_anuncio=3A_=22El_1er_examen_de_Sistemas_Operativos?=
	=?UTF-8?Q?=E2=80=A6=22?="
"Wed, 07 Oct 2020 12:27:07 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>","=?UTF-8?Q?Nuevo_anuncio=3A_=22El_1er_examen_de_Sistemas_Operativos?=
	=?UTF-8?Q?=E2=80=A6=22?="
"Wed, 07 Oct 2020 12:24:54 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>","Nueva tarea: ""Actividad calificada"""
"Wed, 07 Oct 2020 12:24:31 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>","Nueva tarea: ""Actividad calificada"""
"Wed, 07 Oct 2020 09:48:41 -0700",Wish <offers@wish.com>,=?UTF-8?q?=C2=A1Elegimos_Fundas_laptop_para_ti!_=F0=9F=9B=8D_?=
"Wed, 07 Oct 2020 08:42:49 -0700","""FRANCI SUNI LOPEZ (Classroom)"" <no-reply+2d53f5ca@classroom.google.com>","Nuevo anuncio: ""Problemas de complejidad"""
"Wed, 7 Oct 2020 09:41:41 -0500",DIRECCION UNIVERSITARIA DE GESTION DE LA INFORMACION <vri.gestioninformacion@unsa.edu.pe>,"=?UTF-8?Q?INVITACION_A_=E2=80=9CCICLODE_CONFERENCIAS_ACAD=C3=89MICAS_EN_?=
	=?UTF-8?Q?INVESTIGACI=C3=93N=E2=80=9D_DE_LA_UAC?="
"Wed, 07 Oct 2020 07:43:35 -0700","""FRANCI SUNI LOPEZ (Classroom)"" <no-reply+2d53f5ca@classroom.google.com>","=?UTF-8?Q?FRANCI_SUNI_LOPEZ_ha_a=C3=B1adido_un_comentario_privado_?=
	=?UTF-8?Q?a_=22Laboratorio_2=22?="
"Wed, 07 Oct 2020 06:44:57 -0700","""FRANCI SUNI LOPEZ (Classroom)"" <no-reply+2d53f5ca@classroom.google.com>","Nueva tarea: ""Laboratorio 4"""
"Tue, 06 Oct 2020 16:48:31 -0700","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply+7e6f1811@classroom.google.com>","=?UTF-8?B?TnVldm8gYW51bmNpbzogIkJ1ZW5hcyB0YXJkZXMgYW1pZ0BzCgpFc3RlIG1pw6lyY29sZQ==?=
	=?UTF-8?B?cyAwN+KApiI=?="
"Tue, 6 Oct 2020 18:13:28 -0500","""=?utf-8?B?Tm8gY29udGVzdGFyIGEgZXN0ZSBjb3JyZW8gICh2w61hIE1pIGF1bGEgdmk=?=
 =?utf-8?B?cnR1YWwp?="" <noreply@dutic.unsa.edu.pe>",Usted ha realizado su entrega en la tarea Laboratorio 5
"Tue, 6 Oct 2020 17:07:42 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?Presentaci=C3=B3n_de_Resultados_del_Proyecto_de_Investig?=
	=?UTF-8?Q?aci=C3=B3n=3A_=22Entornos_virtuales_para_la_toma_de_decisiones_en_ca?=
	=?UTF-8?Q?so_de_sismos_usando_tecnolog=C3=ADa_de_realidad_virtual_orientad?=
	=?UTF-8?Q?o_a_estudiantes_de_secundaria_de_la_ciudad_de_Arequipa=22?="
"Tue, 6 Oct 2020 16:16:57 -0500",OFICINA UNIVERSITARIA DE RESPONSABILIDAD SOCIAL <ouresponsabilidadsocial@unsa.edu.pe>,"=?UTF-8?Q?Curso_taller_gratuito=2C_Lenguaje_de_Se=C3=B1as_dirigido_a?=
	=?UTF-8?Q?_alumnos_de_pre_grado_UNSA=2E?="
"Tue, 6 Oct 2020 15:02:31 -0500","""=?utf-8?B?Tm8gY29udGVzdGFyIGEgZXN0ZSBjb3JyZW8gICh2w61hIE1pIGF1bGEgdmk=?=
 =?utf-8?B?cnR1YWwp?="" <noreply@dutic.unsa.edu.pe>",=?utf-8?B?VXN0ZWQgaGEgcmVhbGl6YWRvIHN1IGVudHJlZ2EgZW4gbGEgdGFyZWEgTEFC?=  =?utf-8?B?T1JBVE9SSU8gMDQgTU9ERUxPIEVOVElEQUQgUkVMQUNJw5NO?=
"Tue, 6 Oct 2020 14:25:20 -0500",EDGAR SARMIENTO CALISAYA <esarmientoca@unsa.edu.pe>,Re: Laboratorio 4 y 5 - Base de datos
"Tue, 06 Oct 2020 11:07:19 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>","=?UTF-8?Q?Nuevo_material=3A_=22Pr=C3=A1ctica_no_calificada_=2D_Procesos?=
	=?UTF-8?Q?=E2=80=A6=22?="
"Tue, 06 Oct 2020 09:42:47 -0700",Wish <offers@wish.com>,"=?UTF-8?q?Este_navegador_y_reproductor_de_pel=C3=ADculas_con_pantalla_t?= =?UTF-8?q?=C3=A1ctil_para_coche_es_el_descuento_m=C3=A1s_usado_de_hoy,_a_?=
 =?UTF-8?q?s=C3=B3lo_S/.144_=F0=9F=9A=97?="
"Tue, 6 Oct 2020 10:50:01 -0500",DIRECCION UNIVERSITARIA DE GESTION DE LA INVESTIGACION <vri.gestioninvestigacion@unsa.edu.pe>,=?UTF-8?Q?Invitaci=C3=B3n_Ciencia_a_Conciencia_con_Web_of_Science?=
"Tue, 06 Oct 2020 14:49:01 +0000",EDGAR SARMIENTO CALISAYA <esarmientoca@unsa.edu.pe>,"=?UTF-8?Q?Invitaci=C3=B3n=3A_BD_1_=2D_Lab_G=2DB_Cada_semana_de_8=3A50am_a_?=
	=?UTF-8?Q?10=3A30am_el_viernes_=28PET=29_=28gchipanap=40unsa=2Eedu=2Epe=29?="
"Tue, 06 Oct 2020 14:46:15 +0000",EDGAR SARMIENTO CALISAYA <esarmientoca@unsa.edu.pe>,"=?UTF-8?Q?Invitaci=C3=B3n=3A_BD_I_=2D_Lab_=2D_G=2DB_Cada_semana_de_10=3A40pm?=
	=?UTF-8?Q?_a_12=3A20am_el_jueves_=28PET=29_=28gchipanap=40unsa=2Eedu=2Epe=29?="
"Tue, 06 Oct 2020 14:42:26 +0000",EDGAR SARMIENTO CALISAYA <esarmientoca@unsa.edu.pe>,"=?UTF-8?Q?Invitaci=C3=B3n=3A_BD_I_=2D_Teor=C3=ADa_=2D_G=2DB_Cada_semana_de_3=3A5?=
	=?UTF-8?Q?0pm_a_5=3A30pm_el_lunes_=28PET=29_=28gchipanap=40unsa=2Eedu=2Epe=29?="
"Tue, 6 Oct 2020 00:33:31 +0000","""Academia.edu"" <premium@academia-mail.com>",24 hours left: Get 50% off Academia Premium
"Mon, 05 Oct 2020 15:06:23 -0700","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply+7e6f1811@classroom.google.com>","=?UTF-8?B?TnVldm8gbWF0ZXJpYWw6ICJFamVtcGxvIERpYWdyYW1hIEVudGlkYWQtUmVsYWNpw7NuIA==?=
	=?UTF-8?B?LeKApiI=?="
"Mon, 05 Oct 2020 14:04:06 -0700","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply+7e6f1811@classroom.google.com>","=?UTF-8?Q?Nuevo_material=3A_=22Modelo_Entidad=2DRelaci=C3=B3n_=2D_Continua?=
	=?UTF-8?Q?ci=C3=B3n=22?="
"Mon, 05 Oct 2020 19:20:00 +0000",=?UTF-8?Q?JACK_CHRISTOPHER_HUAIH=2E=2E=2E_=28v=C3=ADa_Formularios_de_Google=29?= <drive-shares-noreply@google.com>,=?UTF-8?Q?Votaciones_=2D_Invitaci=C3=B3n_para_editar?=
"Mon, 05 Oct 2020 17:51:49 +0000 (UTC)","""Prezi Video"" <email@create.prezi.com>",=?UTF-8?B?Q29udmllcnRlIHR1IHByZXNlbnRhY2nDs24gZW4gdW4gdsOtZGVv?=
"Mon, 5 Oct 2020 14:11:32 +0000","""Academia.edu"" <premium@academia-mail.com>","Someone saw ""Universidad Nacional de San..."" in an Academia search"
"Mon, 5 Oct 2020 09:00:00 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,REVISTA WILLASUNKI - SETIEMBRE 2020
"Mon, 5 Oct 2020 08:20:00 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?Bolet=C3=ADn_Informativo_N=C2=BA_03_=2D_Defensor=C3=ADa_Universita?=
	=?UTF-8?Q?ria?="
"Mon, 05 Oct 2020 05:07:35 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>",=?UTF-8?Q?Nuevo_material=3A_=22Sincronizaci=C3=B3n_=22?=
"Sun, 4 Oct 2020 23:17:44 -0500","""=?utf-8?B?Tm8gY29udGVzdGFyIGEgZXN0ZSBjb3JyZW8gICh2w61hIE1pIGF1bGEgdmk=?=
 =?utf-8?B?cnR1YWwp?="" <noreply@dutic.unsa.edu.pe>",Usted ha realizado su entrega en la tarea Subir trabajos
"Sun, 4 Oct 2020 21:05:33 -0500","""=?utf-8?B?Tm8gY29udGVzdGFyIGEgZXN0ZSBjb3JyZW8gICh2w61hIE1pIGF1bGEgdmk=?=
 =?utf-8?B?cnR1YWwp?="" <noreply@dutic.unsa.edu.pe>",=?utf-8?B?VXN0ZWQgaGEgcmVhbGl6YWRvIHN1IGVudHJlZ2EgZW4gbGEgdGFyZWEgTEFC?=  =?utf-8?B?T1JBVE9SSU8gMDQgTU9ERUxPIEVOVElEQUQgUkVMQUNJw5NO?=
"Sun, 4 Oct 2020 23:09:04 +0000","""Academia.edu"" <premium@academia-mail.com>",48 hours only: Get 50% off Academia Premium
"Sun, 04 Oct 2020 09:46:07 -0700",Wish <offers@wish.com>,"=?UTF-8?q?Estilo_a_precios_bajos:_=F0=9F=92=B0=E2=8C=9A_Relojes_de_mano_a?=
 =?UTF-8?q?_-80%_hoy.?="
"Sun, 4 Oct 2020 11:02:24 -0500",SERGIO MOISES AQUISE ESCOBEDO <saquisee@unsa.edu.pe>,Re: Practica 2 Estadistica - Ciencia de la computacion
"Sat, 03 Oct 2020 21:57:36 -0700","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply+7e6f1811@classroom.google.com>","=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22LABORATORIO_04=3A_MODELO_EN?=
	=?UTF-8?Q?TIDAD_RELACI=C3=93N=22?="
"Sun, 4 Oct 2020 02:33:50 +0000",PDF By Antonio Mangione <updates@academia-mail.com>,"=?UTF-8?Q?=F0=9F=93=84_=22Prohibici=C3=B3n_de_fumar_y_da=C3=B1o?=
 =?UTF-8?Q?_econ=C3=B3mico._=C2=A1Puro_humo!=22_by_Antonio_Mangione?="
"Sat, 3 Oct 2020 18:55:14 -0500",EDGAR SARMIENTO CALISAYA <esarmientoca@unsa.edu.pe>,Re: Laboratorio 4 y 5 de Base de datos
"Sat, 3 Oct 2020 23:08:41 +0000","""Academia.edu"" <premium@academia-mail.com>","Gabriela Angel Chipana Perez, you have 203 mentions. Find out more"
"Sat, 3 Oct 2020 17:50:04 -0500","""=?utf-8?B?Tm8gY29udGVzdGFyIGEgZXN0ZSBjb3JyZW8gICh2w61hIE1pIGF1bGEgdmk=?=
 =?utf-8?B?cnR1YWwp?="" <noreply@dutic.unsa.edu.pe>",Usted ha realizado su entrega en la tarea Laboratorio 5
"Sat, 3 Oct 2020 17:10:13 +0000","""Academia.edu"" <premium@academia-mail.com>","=?UTF-8?Q?=E2=80=9CPerez,_G_A_C=E2=80=9D:_The_name_=E2=80=9CPerez,?=
 =?UTF-8?Q?_G_A_C=E2=80=9D_is_mentioned_in_a_paper_published_in_Biosai?=
 =?UTF-8?Q?ntifika:_Journal_of_Biology_&_Biology_Education?="
"Sat, 03 Oct 2020 10:07:11 -0700",Wish <offers@wish.com>,=?UTF-8?q?=F0=9F=8E=81_=C2=A1Encuentra_Carcasas_y_fundas_para_iPad_aqu?= =?UTF-8?q?=C3=AD!_?=
"Fri, 02 Oct 2020 20:52:44 -0700","""Steam"" <noreply@steampowered.com>","=?UTF-8?B?VmVyaWZpY2FjacOzbiBkZSBlbWFpbCBkZSBudWV2YSBjdWVudGEg?=
 =?UTF-8?B?ZGUgU3RlYW0=?="
"Fri, 02 Oct 2020 11:03:30 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>",=?UTF-8?Q?Nuevo_material=3A_=22Pr=C3=A1ctica_no_calificada_=2D_Se=C3=B1ales=22?=
"Fri, 2 Oct 2020 17:09:23 +0000","""Academia.edu"" <premium@academia-mail.com>","=?UTF-8?Q?50%_Off,_2_days_only:_=E2=80=9CPerez,_G_A_C=E2=80=9D:_1?=
 =?UTF-8?Q?_new_mention,_including_one_in_a_General_Biochemistry,_Genetics?=
 =?UTF-8?Q?_and_Molecular_Biology_paper?="
"Fri, 02 Oct 2020 09:33:52 -0700",Wish <offers@wish.com>,"=?UTF-8?q?=C2=BFUna_laptop_por_S/.199=3F_=C2=A1Compra_laptops_restauradas?=
 =?UTF-8?q?_de_la_f=C3=A1brica:_Samsung,_HP_=F0=9F=92=BB_y_Apple_Macbooks!?="
"Fri, 02 Oct 2020 08:06:55 -0700","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply+7e6f1811@classroom.google.com>","=?UTF-8?B?TnVldmEgdGFyZWE6ICJMYWJvcmF0b3JpbyA1OiBNb2RlbG8gRW50aWRhZC1SZWxhY2nDsw==?=
	=?UTF-8?B?buKApiI=?="
"Fri, 2 Oct 2020 08:04:49 -0500 (CDT)",Alex Reinhart - Lucidchart <support@lucidchart.com>,Ver documento compartido
"Fri, 02 Oct 2020 05:03:43 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>",=?UTF-8?Q?Nueva_tarea=3A_=22Pr=C3=A1ctica_calificada_=2D_Se=C3=B1ales=22?=
"Fri, 02 Oct 2020 05:02:37 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>",=?UTF-8?Q?Nueva_tarea=3A_=22Pr=C3=A1ctica_calificada_=2D_Se=C3=B1ales=22?=
"Fri, 02 Oct 2020 04:58:45 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>",=?UTF-8?Q?Nuevo_material=3A_=22Pr=C3=A1ctica_no_calificada_=2D_Se=C3=B1ales=22?=
"Fri, 02 Oct 2020 04:58:44 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>",=?UTF-8?Q?Nuevo_material=3A_=22Pr=C3=A1ctica_no_calificada_=2D_Se=C3=B1ales=22?=
"Thu, 01 Oct 2020 21:03:55 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>","=?UTF-8?Q?Nuevo_material=3A_=22Libros_sobre_Programaci=C3=B3n_en_Linux?=
	=?UTF-8?Q?=22?="
"Thu, 01 Oct 2020 21:03:22 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply+4e893325@classroom.google.com>","=?UTF-8?Q?Nuevo_material=3A_=22Libros_sobre_Programaci=C3=B3n_en_Linux?=
	=?UTF-8?Q?=22?="
"Thu, 1 Oct 2020 21:27:26 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,CAPACITACIONES Y EVENTOS INTERNACIONALES
"Thu, 1 Oct 2020 13:54:44 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?Conferencia=3A_=22Materiales_funcionales_nanoestructurad?=
	=?UTF-8?Q?os_a_partir_de_biomasa_lignocelul=C3=B3sica_residual=22?="
"Thu, 01 Oct 2020 09:49:52 -0700",Wish <offers@wish.com>,"=?UTF-8?q?Sistema_de_navegaci=C3=B3n_+_reproductor_de_pel=C3=ADculas_+_re?=
 =?UTF-8?q?productor_de_canciones_para_coche_a_S/.318_hoy_=F0=9F=8E=AC?=
 =?UTF-8?q?=F0=9F=9A=98?="
"Thu, 01 Oct 2020 08:18:44 -0700","""EDGAR SARMIENTO CALISAYA (Classroom)"" <no-reply+7e6f1811@classroom.google.com>","=?UTF-8?Q?Nueva_tarea=3A_=22LABORATORIO_04=3A_MODELO_ENTIDAD_RELACI?=
	=?UTF-8?Q?=C3=93N=22?="
"Wed, 30 Sep 2020 17:12:11 +0000","=?UTF-8?Q?ADRIAN_ROLANDO_BEDREGA=2E=2E=2E_=28v=C3=ADa_Hojas_de_c=C3=A1lculo_de_Go?=
	=?UTF-8?Q?ogle=29?= <drive-shares-noreply@google.com>",=?UTF-8?Q?Feria_Vocacional_=2D_CS_UNSA_=2D_Invitaci=C3=B3n_para_editar?=
"Wed, 30 Sep 2020 16:53:46 +0000",Adrian Rolando Bedregal Vento via Visme <noreply@email.visme.com>,Adrian has requested access to project: Untitled Project
"Wed, 30 Sep 2020 09:22:36 -0700",Wish <offers@wish.com>,"=?UTF-8?q?=F0=9F=93=B1=F0=9F=92=95Esa_funda_para_m=C3=B3vil_que_amas_se_e?=
 =?UTF-8?q?st=C3=A1_vendiendo_r=C3=A1pido..._C=C3=B3mprala_antes_de_que_se?=
 =?UTF-8?q?_agote.?="
